TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20190107,2019,1,7,2,1
20190108,2019,1,8,2,1
20190109,2019,1,9,2,1
20190110,2019,1,10,2,1
20190111,2019,1,11,2,1
20190112,2019,1,12,2,1
20190113,2019,1,13,2,1
20190114,2019,1,14,3,1
20190115,2019,1,15,3,1
20190116,2019,1,16,3,1
20190117,2019,1,17,3,1
20190118,2019,1,18,3,1
20190119,2019,1,19,3,1
20190120,2019,1,20,3,1
20190121,2019,1,21,4,1
20190122,2019,1,22,4,1
20190123,2019,1,23,4,1
20190124,2019,1,24,4,1
20190125,2019,1,25,4,1
20190126,2019,1,26,4,1
20190127,2019,1,27,4,1
20190128,2019,1,28,5,1
20190129,2019,1,29,5,1
20190130,2019,1,30,5,1
20190131,2019,1,31,5,1
20190201,2019,2,1,5,1
20190202,2019,2,2,5,1
20190203,2019,2,3,5,1
20190204,2019,2,4,6,1
20190205,2019,2,5,6,1
20190206,2019,2,6,6,1
20190207,2019,2,7,6,1
20190208,2019,2,8,6,1
20190209,2019,2,9,6,1
20190210,2019,2,10,6,1
20190211,2019,2,11,7,1
20190212,2019,2,12,7,1
20190213,2019,2,13,7,1
20190214,2019,2,14,7,1
20190215,2019,2,15,7,1
20190216,2019,2,16,7,1
20190217,2019,2,17,7,1
20190218,2019,2,18,8,1
20190219,2019,2,19,8,1
20190220,2019,2,20,8,1
20190221,2019,2,21,8,1
20190222,2019,2,22,8,1
20190223,2019,2,23,8,1
20190224,2019,2,24,8,1
20190225,2019,2,25,9,1
20190226,2019,2,26,9,1
20190227,2019,2,27,9,1
20190228,2019,2,28,9,1
20190301,2019,3,1,9,1
20190302,2019,3,2,9,1
20190303,2019,3,3,9,1
20190304,2019,3,4,10,1
20190305,2019,3,5,10,1
20190306,2019,3,6,10,1
20190307,2019,3,7,10,1
20190308,2019,3,8,10,1
20190309,2019,3,9,10,1
20190310,2019,3,10,10,1
20190311,2019,3,11,11,1
20190312,2019,3,12,11,1
20190313,2019,3,13,11,1
20190314,2019,3,14,11,1
20190315,2019,3,15,11,1
20190316,2019,3,16,11,1
20190317,2019,3,17,11,1
20190318,2019,3,18,12,1
20190319,2019,3,19,12,1
20190320,2019,3,20,12,1
20190321,2019,3,21,12,1
20190322,2019,3,22,12,1
20190323,2019,3,23,12,1
20190324,2019,3,24,12,1
20190325,2019,3,25,13,1
20190326,2019,3,26,13,1
20190327,2019,3,27,13,1
20190328,2019,3,28,13,1
20190329,2019,3,29,13,1
20190330,2019,3,30,13,1
20190331,2019,3,31,13,1
20190401,2019,4,1,14,2
20190402,2019,4,2,14,2
20190403,2019,4,3,14,2
20190404,2019,4,4,14,2
20190405,2019,4,5,14,2
20190406,2019,4,6,14,2
20190407,2019,4,7,14,2
20190408,2019,4,8,15,2
20190409,2019,4,9,15,2
20190410,2019,4,10,15,2
20190411,2019,4,11,15,2
20190412,2019,4,12,15,2
20190413,2019,4,13,15,2
20190414,2019,4,14,15,2
20190415,2019,4,15,16,2
20190416,2019,4,16,16,2
20190417,2019,4,17,16,2
20190418,2019,4,18,16,2
20190419,2019,4,19,16,2
20190420,2019,4,20,16,2
20190421,2019,4,21,16,2
20190422,2019,4,22,17,2
20190423,2019,4,23,17,2
20190424,2019,4,24,17,2
20190425,2019,4,25,17,2
20190426,2019,4,26,17,2
20190427,2019,4,27,17,2
20190428,2019,4,28,17,2
20190429,2019,4,29,18,2
20190430,2019,4,30,18,2
20190501,2019,5,1,18,2
20190502,2019,5,2,18,2
20190503,2019,5,3,18,2
20190504,2019,5,4,18,2
20190505,2019,5,5,18,2
20190506,2019,5,6,19,2
20190507,2019,5,7,19,2
20190508,2019,5,8,19,2
20190509,2019,5,9,19,2
20190510,2019,5,10,19,2
20190511,2019,5,11,19,2
20190512,2019,5,12,19,2
20190513,2019,5,13,20,2
20190514,2019,5,14,20,2
20190515,2019,5,15,20,2
20190516,2019,5,16,20,2
20190517,2019,5,17,20,2
20190518,2019,5,18,20,2
20190519,2019,5,19,20,2
20190520,2019,5,20,21,2
20190521,2019,5,21,21,2
20190522,2019,5,22,21,2
20190523,2019,5,23,21,2
20190524,2019,5,24,21,2
20190525,2019,5,25,21,2
20190526,2019,5,26,21,2
20190527,2019,5,27,22,2
20190528,2019,5,28,22,2
20190529,2019,5,29,22,2
20190530,2019,5,30,22,2
20190531,2019,5,31,22,2
20190601,2019,6,1,22,2
20190602,2019,6,2,22,2
20190603,2019,6,3,23,2
20190604,2019,6,4,23,2
